ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,33
Trump,7/25/2024 12:00:00 AM,$0.57,$0.58,$0.56,$0.56,45668
Biden,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7886
Harris,7/25/2024 12:00:00 AM,$0.45,$0.46,$0.43,$0.46,64431
Buttigieg,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,785
Newsom,7/25/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,24556
Ramaswamy,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/25/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,6540
Haley,7/25/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,898
DeSantis,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4528
Trump,7/26/2024 12:00:00 AM,$0.56,$0.57,$0.53,$0.53,53484
Biden,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,39894
Harris,7/26/2024 12:00:00 AM,$0.46,$0.50,$0.45,$0.50,70523
Buttigieg,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,7578
Newsom,7/26/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,6362
Ramaswamy,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,841
Scott,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1091
RFK Jr.,7/26/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,16315
Haley,7/26/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8991
DeSantis,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Trump,7/27/2024 12:00:00 AM,$0.53,$0.54,$0.52,$0.54,42377
Biden,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5956
Harris,7/27/2024 12:00:00 AM,$0.50,$0.50,$0.48,$0.48,62155
Buttigieg,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1001
Newsom,7/27/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,7609
Ramaswamy,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4
Scott,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/27/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1096
Haley,7/27/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,845
DeSantis,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,634
Trump,7/28/2024 12:00:00 AM,$0.54,$0.54,$0.52,$0.54,41008
Biden,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,717
Harris,7/28/2024 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,41447
Buttigieg,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,35002
Newsom,7/28/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2514
Ramaswamy,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,7/28/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,959
Haley,7/28/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,555
DeSantis,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,558
Trump,7/29/2024 12:00:00 AM,$0.54,$0.54,$0.53,$0.53,38274
Biden,7/29/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5773
